# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,
http-in,FRONTEND,,,4,35,100,191108,54779550,3636362437,0,0,283,,,,,OPEN,,,,,,,,,1,1,0,,,,0,1,0,15,,,,0,188709,4927,4481,629,4,,1,69,198754,,,
http-in,IPv4-direct,,,1,15,100,69790,29740502,1146359953,0,0,271,,,,,OPEN,,,,,,,,,1,1,1,,,,3,,,,,,,,,,,,,,,,,,,
http-in,IPv4-cached,,,3,35,100,120617,24835747,2447862364,0,0,0,,,,,OPEN,,,,,,,,,1,1,2,,,,3,,,,,,,,,,,,,,,,,,,
http-in,IPv6-direct,,,0,6,100,701,203301,42140120,0,0,12,,,,,OPEN,,,,,,,,,1,1,3,,,,3,,,,,,,,,,,,,,,,,,,
http-in,local,,,0,0,100,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,1,1,4,,,,3,,,,,,,,,,,,,,,,,,,
www,www,0,0,1,10,10,50297,18756539,2355728963,,0,,0,3,0,0,UP,1,1,0,0,0,660977,0,,1,2,1,,47689,,2,0,,69,L7OK,200,3,0,41513,4705,4067,0,0,0,,,,2087,3,
www,bck,0,0,0,0,10,0,0,0,,0,,0,0,0,0,UP,1,0,1,0,0,660977,0,,1,2,2,,0,,2,0,,0,L7OK,200,2,0,0,0,0,0,0,0,,,,0,0,
www,BACKEND,0,24,1,35,100,50955,20258943,2355867475,0,0,,607,3,0,0,UP,1,1,1,,0,660977,0,,1,2,0,,47689,,1,0,,69,,,,0,41512,4705,4108,629,0,,,,,2694,3,
git,www,0,0,1,2,2,2846,1335477,313131115,,0,,0,0,0,0,UP,1,1,0,0,0,660977,0,,1,3,1,,2836,,2,0,,2,L7OK,200,4,0,2652,191,3,0,0,0,,,,13,0,
git,bck,0,0,0,0,2,0,0,0,,0,,0,0,0,0,UP,1,0,1,0,0,660977,0,,1,3,2,,0,,2,0,,0,L7OK,200,2,0,0,0,0,0,0,0,,,,0,0,
git,BACKEND,0,2,2,4,2,2846,1342131,313131115,0,0,,0,0,0,0,UP,1,1,1,,0,660977,0,,1,3,0,,2836,,1,0,,2,,,,0,2650,191,3,0,0,,,,,13,0,
demo,BACKEND,0,0,1,5,0,57385,23660191,953775241,0,0,,0,0,0,0,UP,0,0,0,,0,660977,0,,1,15,0,,0,,1,1,,7,,,,0,57383,1,0,0,0,,,,,397,0,
